Restoration_Method,Noise_Type,MSE,PSNR,NMSE,NAE,SSIM,UIQI,SPUNN
arithmetic_mean,exponential_noise,611.524525,20.266665,0.042081,0.216935,0.657334,0.970461,74.34439179387947
arithmetic_mean,gaussian_noise,7206.320086,9.553668,0.495892,0.72697,0.266851,0.644254,28.48895996045852
arithmetic_mean,motion_blur,53.178505,30.873442,0.003659,0.028328,0.887924,0.989688,91.55075133389066
arithmetic_mean,rayleigh_noise,937.588842,18.410679,0.064519,0.275818,0.755045,0.964036,72.86345236923502
arithmetic_mean,salt_pepper_noise,117.678048,27.423849,0.008098,0.062583,0.504563,0.9769,80.75810775438343
median,exponential_noise,510.940749,21.047098,0.03516,0.196111,0.634317,0.973567,75.15749132809302
median,gaussian_noise,7705.867848,9.262588,0.530266,0.73727,0.181207,0.592185,24.424783866632648
median,motion_blur,52.141655,30.958956,0.003588,0.02794,0.889116,0.989898,91.64190314037626
median,rayleigh_noise,910.672273,18.537182,0.062666,0.271303,0.717265,0.96451,72.38316048026373
median,salt_pepper_noise,6.264955,40.161624,0.000431,0.014675,0.953485,0.998808,99.07369133359552
pseudo_inverse,exponential_noise,708.77168,19.62574,0.048773,0.17343,0.240598,0.876059,64.91143885603091
pseudo_inverse,gaussian_noise,6064.680272,10.302725,0.417331,0.59075,0.087293,0.455409,27.219260876625846
pseudo_inverse,motion_blur,413.024048,21.97105,0.028422,0.125842,0.790857,0.93169,79.90737903744846
pseudo_inverse,rayleigh_noise,780.303368,19.208169,0.053695,0.194778,0.353577,0.887593,66.39935368614258
pseudo_inverse,salt_pepper_noise,1033.312482,17.988487,0.071106,0.212613,0.113234,0.813348,58.568405221566834
trimmed_average,trimmed_avg_exponential_noise,509.193411,21.061976,0.035039,0.196775,0.660814,0.974344,75.68202593513033
trimmed_average,trimmed_avg_gaussian_noise,7452.115241,9.408008,0.512805,0.732536,0.215958,0.618598,26.304311604265372
trimmed_average,trimmed_avg_motion_blur,52.676949,30.914597,0.003625,0.028357,0.888441,0.989808,91.58828056913003
trimmed_average,trimmed_avg_rayleigh_noise,889.974824,18.637026,0.061242,0.268552,0.742833,0.965569,73.06992881112842
trimmed_average,trimmed_avg_salt_pepper_noise,9.113494,38.533955,0.000627,0.016147,0.940268,0.998284,97.7773729151523
TVM,tvm_exponential_noise,5242.423216,10.935483,0.360749,0.587226,0.030894,0.463855,28.251772166325246
TVM,tvm_gaussian_noise,10781.880998,7.803858,0.741936,0.779653,0.018461,0.219942,6.169161348446212
TVM,tvm_motion_blur,4038.67705,12.068412,0.277915,0.551224,0.023371,0.522126,33.08193683970411
TVM,tvm_rayleigh_noise,5252.280508,10.927324,0.361427,0.580575,0.03265,0.474607,28.655344946615713
TVM,tvm_salt_pepper_noise,4562.443718,11.538828,0.313957,0.566634,0.0335,0.487859,30.916236808675414
wiener,exponential_noise,4118.50196,11.983411,0.283408,0.46474,0.027883,0.529171,35.37120179948863
wiener,gaussian_noise,11100.872147,7.677233,0.763888,0.805867,0.021162,0.218046,4.849327153423355
wiener,motion_blur,347.749907,22.718133,0.02393,0.075099,0.741232,0.933616,80.87633116262573
wiener,rayleigh_noise,3100.258827,13.216824,0.213339,0.402137,0.047688,0.637623,42.173167516445965
wiener,salt_pepper_noise,4927.952079,11.204139,0.339109,0.475319,0.015702,0.429646,30.905046576368296
